client_id,age,genre,situation_familiale,nb_enfants,csp,region,anciennete_banque_mois,revenu_mensuel,epargne_totale,credits_en_cours,nb_produits_bancaires,utilise_app_mobile,nb_connexions_mois,montant_moyen_transactions,nb_transactions_mois,ratio_depenses_revenus,nb_appels_conseiller_6mois,nb_visites_agence_6mois,recherche_pret_perso_recent,augmentation_epargne_recente,ouverture_compte_epargne_recent,consultation_assurance_vie,simulation_pret_immobilier,variation_revenus_recente,consultation_placements,consultation_pret_pro
CLI_000001,51,H,marie,0,ouvrier,IDF,46,2340.8754898365096,36185.72124415685,1,5,1,4,1613.9451027244843,3,0.746766619783977,0,1,0,0,0,0,0,0,0,0
CLI_000002,30,H,celibataire,1,employe,IDF,76,3488.229435335033,27063.294342929497,0,1,0,0,792.945538392591,43,0.675873935371992,0,0,0,0,0,0,0,0,0,0
CLI_000003,37,H,divorce,1,etudiant,Autre,56,831.1338256716979,22003.780518747022,0,3,0,3,2092.7457931966505,36,0.5871962887740593,0,2,0,0,0,0,0,0,0,0
CLI_000004,46,F,marie,2,cadre,IDF,310,3990.968187867633,86641.51416543353,0,2,1,9,3741.542796589564,47,0.5792218478661252,0,1,0,0,0,0,0,0,0,0
CLI_000005,46,F,marie,0,cadre,IDF,207,3431.9194317372753,130216.17667369211,1,3,1,8,480.4314862877867,-5,0.6656291692250459,2,1,0,1,0,0,0,0,0,0
CLI_000006,24,F,marie,0,profession_liberale,PACA,120,9081.347398950205,76443.8178960294,0,4,1,12,1681.263628775766,45,0.8235681030136729,1,1,0,1,0,0,0,0,0,0
CLI_000007,49,F,celibataire,0,retraite,Autre,97,882.9039082111124,7810.6862826819715,3,4,0,5,651.1942387607155,50,0.7378733563189168,0,1,0,0,0,0,0,0,0,0
CLI_000008,39,H,celibataire,0,cadre,HDF,30,7885.947083789955,329502.86726222426,1,4,1,1,1300.8401317437829,31,0.6858758985131099,0,2,1,1,0,0,0,0,0,0
CLI_000009,58,F,celibataire,1,cadre,IDF,233,3133.3746151087216,9769.996336485627,0,3,1,33,803.5539579877006,24,0.8906534912615881,0,0,0,0,0,0,0,0,0,0
CLI_000010,40,H,celibataire,0,ouvrier,Occitanie,62,3456.768389435445,33380.11959085681,0,2,1,29,707.4764513221493,32,0.6671205625379643,3,1,0,0,0,0,0,1,0,0
CLI_000011,65,F,divorce,0,employe,Autre,63,1028.896197816776,32120.35667172547,3,1,1,11,1980.8552051197673,2,0.6816400457471751,2,1,0,0,1,0,0,0,0,1
CLI_000012,64,F,marie,1,employe,HDF,50,4040.7012199488026,82029.82638888429,0,2,0,4,2844.164367973692,19,0.6619870946973677,0,0,0,1,0,0,0,0,0,0
CLI_000013,40,F,divorce,0,employe,Autre,32,2429.6039953171617,12220.908909697762,1,1,1,0,1490.5308275205957,43,0.9012636641066513,0,0,0,0,0,0,0,0,0,0
CLI_000014,25,F,celibataire,2,employe,Occitanie,6,3423.522720261415,24196.763962278448,0,2,1,13,2177.287156374448,23,0.9027243821862343,3,0,1,1,0,0,0,0,0,0
CLI_000015,45,H,marie,1,employe,Autre,34,4032.099242092749,41604.29113003673,2,2,0,0,2039.0686157617265,28,0.5821398230900393,0,0,0,0,0,0,0,0,0,0
CLI_000016,54,F,celibataire,0,employe,IDF,9,1835.3323611946137,66743.45100787947,2,4,1,2,876.6396824574504,21,0.9650624255169368,2,0,0,0,0,0,0,0,0,0
CLI_000017,33,F,marie,4,etudiant,IDF,31,204.01330897211113,3231.6477305185626,1,2,0,13,197.2449966778857,20,0.8344363674475066,2,0,0,0,0,0,0,0,0,0
CLI_000018,48,F,marie,2,profession_liberale,Autre,6,2977.981391407517,15447.4059636632,3,1,1,9,1628.7573943489422,32,0.8825091470813665,0,0,0,1,0,0,0,0,0,0
CLI_000019,30,F,celibataire,1,employe,IDF,10,1913.4109939914918,12697.000872494866,1,1,1,7,2201.3864441104165,54,0.5725657135858518,0,1,0,0,1,0,0,0,0,0
CLI_000020,63,F,marie,0,cadre,PACA,64,5205.365577330247,75464.38727848294,1,3,1,3,1758.5259692472441,20,0.9745057081244369,2,1,0,0,1,0,0,0,0,0
CLI_000021,23,F,marie,0,employe,Occitanie,145,1999.5070946899737,13051.174478973811,0,2,1,10,2037.576317802106,28,0.7229745066824761,1,1,0,0,0,0,0,0,0,0
CLI_000022,33,F,marie,0,employe,Autre,102,2370.8597430664663,33285.38762514877,2,4,1,13,0.0,19,0.7793720911975349,1,2,0,0,0,0,0,0,0,0
CLI_000023,51,F,marie,3,ouvrier,PACA,160,1015.0148682967625,18607.301547214905,0,3,0,4,1514.8827391745465,22,0.7713909073948677,0,2,0,0,0,0,0,0,0,0
CLI_000024,40,H,celibataire,0,cadre,PACA,85,6320.887052245097,46235.13928751648,0,1,1,0,1882.4865471701044,26,0.6114130871478087,0,0,0,1,0,0,0,1,0,0
CLI_000025,47,F,divorce,0,employe,ARA,37,2733.932599813244,75022.63537879412,1,3,1,9,1227.6128371754542,34,0.8821075232390863,4,1,0,0,0,0,0,0,0,0
CLI_000026,61,H,marie,0,cadre,ARA,214,4998.502179082902,197865.98341637442,2,1,1,5,1797.75752487878,22,0.8251444971037278,3,2,0,0,0,0,0,0,0,0
CLI_000027,27,F,marie,0,profession_liberale,Autre,140,7009.021105715523,164189.91603791146,0,3,0,3,2371.236865834731,-10,0.8099150835830089,1,0,0,0,0,0,1,0,0,0
CLI_000028,55,H,marie,0,employe,IDF,131,3348.9283360681643,6806.3347146686265,1,4,1,19,1902.933740516646,18,0.7269795243971378,0,2,0,0,0,0,0,0,0,0
CLI_000029,49,H,marie,1,cadre,HDF,84,31.802973176183748,386.875755436241,2,4,0,2,0.0,24,0.8080054654764225,0,0,0,0,0,1,0,0,0,0
CLI_000030,53,H,celibataire,3,employe,Autre,37,2310.8494438876464,4246.656607389328,1,2,0,0,1162.8959493389243,23,0.7527260183380481,0,1,0,0,0,0,0,0,0,0
CLI_000031,64,F,celibataire,1,employe,IDF,8,2859.46066302657,2730.6539587892235,1,1,1,26,642.3650997494562,3,0.8765674300463626,0,0,0,0,0,0,0,0,0,0
CLI_000032,41,F,celibataire,0,employe,IDF,25,2644.2973205436706,81015.41025573427,1,2,1,38,1118.8166447499932,41,0.7569622427784256,3,1,0,0,0,0,0,0,0,1
CLI_000033,38,F,celibataire,0,profession_liberale,PACA,31,4664.1528402671,5323.6394138528285,0,2,1,8,2243.5757406158436,3,0.6583426657548924,2,1,0,0,0,0,0,0,0,0
CLI_000034,28,H,marie,1,retraite,ARA,62,2733.0255930331055,147991.51096988385,1,2,1,10,919.9987582969335,19,1.1651515993239014,0,2,0,0,0,0,0,0,1,0
CLI_000035,56,H,marie,0,etudiant,IDF,75,1086.5667003479366,28707.715077174762,0,2,1,0,1691.3480300740828,37,0.79955578573603,0,3,0,0,0,0,0,0,0,0
CLI_000036,40,F,celibataire,1,employe,IDF,106,1349.2949902824612,34043.99161581395,1,2,1,17,2590.883389146287,11,0.7331971041161197,0,0,0,0,0,0,0,0,0,0
CLI_000037,33,F,marie,2,retraite,Autre,20,1873.3757421931414,14281.162391276655,1,3,1,15,1161.6954848579478,36,0.6008464577540831,1,2,0,0,0,0,0,0,0,0
CLI_000038,60,F,celibataire,2,profession_liberale,PACA,129,3662.7708855764404,37924.825823770574,0,3,0,3,1581.2394270460552,44,0.7949961048605122,0,0,0,0,0,0,0,0,0,0
CLI_000039,55,H,celibataire,0,retraite,PACA,65,2098.1477499299062,24925.125815073225,0,3,0,1,2078.6441087462586,20,0.6956898830869398,1,0,1,0,1,0,0,0,0,0
CLI_000040,18,F,veuf,0,employe,Autre,28,2310.153643119799,11915.759945264306,0,3,0,2,323.182656939891,0,0.5303415451408867,0,0,0,0,0,1,0,0,0,0
CLI_000041,52,H,marie,2,employe,Autre,13,3970.0498839420043,9086.906068225178,0,4,1,11,840.0702137137691,39,0.959169563283921,2,2,0,0,0,0,0,0,0,0
CLI_000042,18,H,marie,1,retraite,PACA,19,2006.3752270354544,42624.94300731947,1,2,0,6,1332.7400434723384,-4,0.795407081738838,0,0,0,0,0,0,0,0,0,0
CLI_000043,51,H,celibataire,0,cadre,IDF,25,2222.4495636497722,9705.264996319256,1,3,0,1,2995.04681436568,9,0.9002689725134497,1,1,0,0,0,0,0,0,0,0
CLI_000044,82,H,veuf,0,cadre,Autre,41,4878.116175978533,68210.18733275039,1,1,0,2,1290.7014366219398,25,0.7998926729102664,0,0,0,0,0,0,0,0,0,0
CLI_000045,31,F,marie,2,employe,ARA,30,1716.0501533544113,15144.603403066785,2,3,1,14,1600.7131165510825,35,0.8835755325517366,0,1,0,0,1,0,0,0,0,0
CLI_000046,32,H,marie,2,profession_liberale,PACA,100,4600.052518031634,37844.269638249985,1,2,1,15,2572.5604993516376,13,0.704783160147219,1,1,0,1,0,0,0,0,0,0
CLI_000047,52,H,marie,1,profession_liberale,Autre,67,3814.2527140708025,64609.9392514792,3,1,1,73,892.2574075346486,8,0.844899489643435,1,0,0,0,0,0,0,0,0,0
CLI_000048,31,F,celibataire,1,profession_liberale,IDF,113,6215.763811476198,5154.670912526546,2,3,1,102,3144.9969696107673,27,0.6846830180832284,0,0,0,1,0,0,1,0,0,0
CLI_000049,35,F,divorce,1,cadre,Autre,58,3975.066296496658,9563.932948317548,1,2,1,9,1382.0192473376767,8,0.8231331078873273,4,3,0,0,0,0,1,0,0,0
CLI_000050,30,F,divorce,0,cadre,HDF,40,6778.779758491196,67403.39807682163,0,4,0,8,980.2648820113611,31,0.6722246628270961,2,2,0,0,0,0,0,0,0,0
CLI_000051,46,F,marie,1,employe,HDF,61,2336.5062735622087,73556.85832512891,0,3,1,1,796.2713984970046,17,0.9945718371123792,2,0,0,0,0,0,0,0,0,0
